#time intensity
0.000 8.171
0.050 7.161
0.100 6.440
0.150 8.964
0.201 8.432
0.251 8.713
0.301 6.899
0.351 7.439
0.401 8.388
0.451 7.019
0.501 6.705
0.551 7.599
0.602 8.186
0.652 8.439
0.702 6.375
0.752 7.105
0.802 7.178
0.852 5.129
0.902 6.563
0.952 6.155
1.003 5.760
1.053 6.049
1.103 6.645
1.153 6.172
1.203 5.688
1.253 5.712
1.303 6.114
1.353 6.651
1.404 6.905
1.454 6.236
1.504 6.516
1.554 4.777
1.604 7.951
1.654 6.321
1.704 4.800
1.754 5.521
1.805 6.600
1.855 6.128
1.905 5.239
1.955 6.557
2.005 7.060
2.055 4.868
2.105 6.482
2.155 3.664
2.206 5.207
2.256 5.058
2.306 4.844
2.356 5.735
2.406 5.320
2.456 5.845
2.506 5.497
2.556 6.131
2.607 4.297
2.657 6.881
2.707 5.056
2.757 4.388
2.807 6.657
2.857 4.584
2.907 4.857
2.957 5.641
3.008 3.846
3.058 5.206
3.108 6.114
3.158 6.527
3.208 4.349
3.258 5.005
3.308 5.767
3.358 4.328
3.409 5.994
3.459 3.858
3.509 4.446
3.559 5.951
3.609 4.486
3.659 4.748
3.709 2.814
3.759 5.981
3.810 6.745
3.860 5.611
3.910 4.725
3.960 4.696
4.010 3.649
4.060 4.000
4.110 5.266
4.160 3.098
4.211 3.001
4.261 4.015
4.311 6.169
4.361 6.256
4.411 3.971
4.461 3.281
4.511 4.458
4.561 5.400
4.612 4.774
4.662 3.320
4.712 2.761
4.762 3.591
4.812 4.625
4.862 3.122
4.912 3.858
4.962 3.134
5.013 4.189
5.063 4.016
5.113 5.060
5.163 4.734
5.213 3.477
5.263 2.694
5.313 3.857
5.363 3.077
5.414 3.948
5.464 3.990
5.514 2.563
5.564 1.914
5.614 6.127
5.664 3.589
5.714 2.041
5.764 3.953
5.815 3.842
5.865 2.834
5.915 3.122
5.965 4.388
6.015 2.639
6.065 1.384
6.115 4.593
6.165 2.942
6.216 2.914
6.266 2.229
6.316 2.087
6.366 2.397
6.416 2.654
6.466 3.381
6.516 2.873
6.566 3.712
6.617 1.887
6.667 3.212
6.717 5.542
6.767 3.234
6.817 2.410
6.867 1.360
6.917 3.305
6.967 3.625
7.018 2.834
7.068 4.225
7.118 1.950
7.168 1.590
7.218 2.346
7.268 3.384
7.318 1.734
7.368 2.442
7.419 4.333
7.469 4.136
7.519 1.347
7.569 1.623
7.619 2.513
7.669 1.988
7.719 4.000
7.769 3.247
7.820 2.542
7.870 3.616
7.920 1.997
7.970 1.956
8.020 1.061
8.070 1.952
8.120 3.136
8.170 3.045
8.221 2.194
8.271 3.011
8.321 2.709
8.371 0.391
8.421 2.087
8.471 2.729
8.521 0.640
8.571 2.324
8.622 2.978
8.672 1.765
8.722 1.501
8.772 1.719
8.822 2.957
8.872 2.457
8.922 2.769
8.972 2.369
9.023 1.287
9.073 0.583
9.123 2.807
9.173 1.305
9.223 1.636
9.273 0.898
9.323 1.971
9.373 4.720
9.424 2.674
9.474 4.425
9.524 2.107
9.574 2.121
9.624 3.809
9.674 0.397
9.724 0.271
9.774 2.094
9.825 0.688
9.875 2.311
9.925 -0.171
9.975 1.186
10.025 1.968
10.075 0.897
10.125 2.916
10.175 1.207
10.226 4.488
10.276 0.597
10.326 -0.644
10.376 2.518
10.426 1.952
10.476 0.960
10.526 3.995
10.576 2.041
10.627 1.782
10.677 4.170
10.727 2.750
10.777 2.182
10.827 2.839
10.877 3.359
10.927 1.277
10.977 1.454
11.028 0.759
11.078 0.815
11.128 3.054
11.178 0.440
11.228 1.394
11.278 1.357
11.328 2.246
11.378 3.387
11.429 2.987
11.479 0.098
11.529 2.111
11.579 1.008
11.629 2.472
11.679 4.717
11.729 2.921
11.779 1.082
11.830 -0.208
11.880 2.673
11.930 1.650
11.980 -0.356
12.030 1.286
12.080 1.857
12.130 1.617
12.180 -0.103
12.231 0.653
12.281 2.977
12.331 2.633
12.381 1.689
12.431 1.548
12.481 1.053
12.531 1.312
12.581 2.185
12.632 0.165
12.682 2.874
12.732 2.893
12.782 2.243
12.832 1.804
12.882 1.425
12.932 -0.044
12.982 -0.044
13.033 -0.877
13.083 2.212
13.133 0.857
13.183 1.459
13.233 1.697
13.283 1.294
13.333 2.080
13.383 2.243
13.434 2.803
13.484 0.093
13.534 -0.655
13.584 1.783
13.634 2.072
13.684 1.438
13.734 3.365
13.784 2.428
13.835 0.915
13.885 2.147
13.935 2.501
13.985 2.667
14.035 0.154
14.085 -0.324
14.135 2.981
14.185 1.876
14.236 1.365
14.286 2.271
14.336 0.119
14.386 0.414
14.436 1.824
14.486 -0.652
14.536 1.331
14.586 -0.460
14.637 3.288
14.687 2.340
14.737 1.183
14.787 -0.333
14.837 0.842
14.887 2.655
14.937 0.452
14.987 2.310
15.038 2.114
15.088 1.297
15.138 0.780
15.188 1.929
15.238 -1.212
15.288 1.913
15.338 1.432
